Local time,Open,High,Low,Close,Volume
06.01.2024 02:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 03:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 04:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 05:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 06:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 07:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 08:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 09:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 10:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 11:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 12:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 13:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 14:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 15:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 16:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 17:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 18:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 19:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 20:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 21:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 22:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
06.01.2024 23:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 00:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 01:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 02:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 03:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 04:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 05:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 06:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 07:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 08:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 09:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 10:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 11:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 12:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 13:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 14:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 15:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 16:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 17:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 18:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 19:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 20:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 21:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 22:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
07.01.2024 23:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
08.01.2024 00:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
08.01.2024 01:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
08.01.2024 02:30:00.000 GMT+0330,37410.259,37453.499,37398.259,37415.779,0.0712
08.01.2024 03:30:00.000 GMT+0330,37414.729,37428.769,37402.199,37405.249,0.0352
08.01.2024 04:30:00.000 GMT+0330,37405.749,37409.259,37336.259,37340.199,0.0522
08.01.2024 05:30:00.000 GMT+0330,37340.267,37344.749,37315.719,37339.709,0.0513
08.01.2024 06:30:00.000 GMT+0330,37340.759,37340.759,37312.199,37318.999,0.0391
08.01.2024 07:30:00.000 GMT+0330,37318.299,37333.789,37313.799,37332.769,0.0192
08.01.2024 08:30:00.000 GMT+0330,37333.199,37338.759,37321.279,37327.729,0.0364
08.01.2024 09:30:00.000 GMT+0330,37328.709,37341.709,37312.739,37312.739,0.0515
08.01.2024 10:30:00.000 GMT+0330,37313.499,37340.299,37310.269,37312.749,0.0518
08.01.2024 11:30:00.000 GMT+0330,37313.729,37372.549,37303.019,37337.059,0.1333
08.01.2024 12:30:00.000 GMT+0330,37337.539,37338.299,37216.089,37290.569,0.1287
08.01.2024 13:30:00.000 GMT+0330,37290.537,37300.599,37267.589,37272.599,0.0876
08.01.2024 14:30:00.000 GMT+0330,37271.029,37319.799,37253.559,37306.509,0.0826
08.01.2024 15:30:00.000 GMT+0330,37307.049,37325.299,37284.519,37324.019,0.4379
08.01.2024 16:30:00.000 GMT+0330,37323.599,37360.579,37311.509,37321.019,0.5569
08.01.2024 17:30:00.000 GMT+0330,37321.549,37363.769,37244.199,37303.229,1.5257
08.01.2024 18:30:00.000 GMT+0330,37302.739,37433.499,37291.259,37380.269,1.2616
08.01.2024 19:30:00.000 GMT+0330,37380.299,37410.789,37343.769,37402.779,1.3442
08.01.2024 20:30:00.000 GMT+0330,37402.697,37465.749,37371.799,37452.209,1.0096
08.01.2024 21:30:00.000 GMT+0330,37451.729,37494.799,37430.239,37490.709,0.9193
08.01.2024 22:30:00.000 GMT+0330,37490.279,37634.749,37482.299,37615.749,1.0673
08.01.2024 23:30:00.000 GMT+0330,37616.789,37692.767,37594.729,37676.499,1.4529
09.01.2024 00:30:00.000 GMT+0330,37678.239,37678.739,37655.229,37657.209,0.1577
09.01.2024 01:30:00.000 GMT+0330,37657.209,37657.209,37657.209,37657.209,0
09.01.2024 02:30:00.000 GMT+0330,37639.389,37643.379,37628.819,37643.379,0.0372
09.01.2024 03:30:00.000 GMT+0330,37641.879,37647.899,37629.859,37631.349,0.0579
09.01.2024 04:30:00.000 GMT+0330,37630.879,37637.329,37619.799,37629.319,0.0674
09.01.2024 05:30:00.000 GMT+0330,37628.809,37636.389,37622.299,37628.359,0.0502
09.01.2024 06:30:00.000 GMT+0330,37628.839,37637.099,37622.349,37630.899,0.0464
09.01.2024 07:30:00.000 GMT+0330,37631.399,37631.399,37615.809,37625.599,0.0397
09.01.2024 08:30:00.000 GMT+0330,37624.899,37629.399,37617.319,37618.869,0.0458
09.01.2024 09:30:00.000 GMT+0330,37618.309,37632.839,37615.859,37625.389,0.0407
09.01.2024 10:30:00.000 GMT+0330,37624.099,37624.349,37607.899,37610.359,0.0492
09.01.2024 11:30:00.000 GMT+0330,37610.819,37612.829,37552.629,37567.669,0.1127
09.01.2024 12:30:00.000 GMT+0330,37567.109,37578.099,37527.109,37569.119,0.0991
09.01.2024 13:30:00.000 GMT+0330,37569.649,37578.689,37550.679,37560.149,0.0849
09.01.2024 14:30:00.000 GMT+0330,37560.659,37564.189,37501.099,37507.649,0.0872
09.01.2024 15:30:00.000 GMT+0330,37508.129,37552.679,37493.669,37541.169,0.4559
09.01.2024 16:30:00.000 GMT+0330,37538.639,37541.689,37479.119,37481.139,0.5895
09.01.2024 17:30:00.000 GMT+0330,37481.609,37495.679,37363.329,37404.299,1.4892
09.01.2024 18:30:00.000 GMT+0330,37406.599,37464.839,37363.599,37399.739,1.5743
09.01.2024 19:30:00.000 GMT+0330,37400.219,37530.269,37397.709,37529.289,1.1974
